On the day 1 , the price is $10.20
On the day 68 , the price is $14.42
On the day 69 , the price is $15.14
On the day 70 , the price is $15.12
On the day 71 , the price is $15.06
On the day 72 , the price is $16.36
On the day 73 , the price is $16.78
On the day 74 , the price is $17.81
On the day 75 , the price is $17.23
On the day 76 , the price is $17.46
On the day 77 , the price is $18.03
On the day 78 , the price is $18.33
On the day 79 , the price is $19.93
On the day 80 , the price is $20.56
On the day 81 , the price is $20.12
On the day 82 , the price is $20.99
On the day 83 , the price is $21.97
On the day 84 , the price is $23.03
On the day 85 , the price is $24.16
On the day 86 , the price is $23.61
On the day 87 , the price is $25.56
On the day 88 , the price is $25.45
On the day 89 , the price is $25.60
On the day 90 , the price is $25.18
On the day 91 , the price is $25.14
On the day 92 , the price is $25.33
On the day 93 , the price is $25.17
On the day 94 , the price is $24.03
On the day 95 , the price is $23.26
On the day 96 , the price is $22.95
On the day 97 , the price is $22.65
On the day 98 , the price is $22.55
On the day 99 , the price is $23.01
On the day 100 , the price is $24.49
On the day 101 , the price is $25.23
On the day 102 , the price is $26.15
On the day 103 , the price is $28.28
On the day 104 , the price is $27.93
On the day 105 , the price is $26.75
On the day 106 , the price is $27.38
On the day 107 , the price is $29.72
On the day 108 , the price is $28.34
On the day 109 , the price is $30.38
On the day 110 , the price is $29.93
On the day 111 , the price is $29.08
On the day 112 , the price is $28.61
On the day 113 , the price is $29.26
On the day 114 , the price is $27.89
On the day 115 , the price is $29.77
On the day 116 , the price is $31.79
On the day 117 , the price is $30.80
On the day 118 , the price is $32.71
On the day 119 , the price is $35.37
On the day 120 , the price is $35.40
On the day 121 , the price is $34.01
On the day 122 , the price is $36.07
On the day 123 , the price is $34.31
On the day 124 , the price is $32.75
On the day 125 , the price is $31.54
On the day 126 , the price is $33.79
On the day 127 , the price is $32.11
On the day 128 , the price is $30.70
On the day 129 , the price is $29.87
On the day 130 , the price is $30.33
On the day 131 , the price is $30.69
On the day 132 , the price is $32.45
On the day 133 , the price is $32.01
On the day 134 , the price is $31.08
On the day 135 , the price is $30.47
On the day 136 , the price is $32.93
On the day 137 , the price is $33.16
On the day 138 , the price is $33.69
On the day 139 , the price is $32.18
On the day 140 , the price is $32.27
On the day 141 , the price is $30.87
On the day 142 , the price is $31.80
On the day 143 , the price is $31.36
On the day 144 , the price is $33.81
On the day 145 , the price is $36.68
On the day 146 , the price is $36.79
On the day 147 , the price is $35.50
On the day 148 , the price is $35.02
On the day 149 , the price is $33.69
On the day 150 , the price is $32.90
On the day 151 , the price is $35.13
On the day 152 , the price is $34.62
On the day 153 , the price is $36.97
On the day 154 , the price is $37.50
On the day 155 , the price is $39.59
On the day 156 , the price is $38.76
On the day 157 , the price is $40.77
On the day 158 , the price is $43.34
On the day 159 , the price is $41.48
On the day 160 , the price is $39.41
On the day 161 , the price is $37.88
On the day 162 , the price is $39.98
On the day 163 , the price is $39.20
On the day 164 , the price is $38.26
On the day 165 , the price is $41.99
On the day 166 , the price is $43.35
On the day 167 , the price is $45.91
On the day 168 , the price is $44.76
On the day 169 , the price is $49.21
On the day 170 , the price is $48.21
On the day 171 , the price is $47.24
On the day 172 , the price is $47.43
On the day 173 , the price is $47.63
On the day 174 , the price is $45.69
On the day 175 , the price is $49.58
On the day 176 , the price is $54.07
On the day 177 , the price is $59.36
On the day 178 , the price is $60.88
On the day 179 , the price is $60.74
On the day 180 , the price is $58.39
On the day 181 , the price is $56.56
On the day 182 , the price is $57.96
On the day 183 , the price is $57.77
On the day 184 , the price is $62.76
On the day 185 , the price is $67.36
On the day 186 , the price is $68.87
On the day 187 , the price is $72.58
On the day 188 , the price is $70.64
On the day 189 , the price is $69.56
On the day 190 , the price is $68.76
On the day 191 , the price is $69.21
On the day 192 , the price is $71.71
On the day 193 , the price is $70.53
On the day 194 , the price is $67.34
On the day 195 , the price is $65.60
On the day 196 , the price is $68.71
On the day 197 , the price is $66.74
On the day 198 , the price is $63.85
On the day 199 , the price is $68.86
On the day 200 , the price is $72.58
On the day 201 , the price is $69.31
On the day 202 , the price is $72.13
On the day 203 , the price is $73.06
On the day 204 , the price is $71.71
On the day 205 , the price is $71.20
On the day 206 , the price is $74.22
On the day 207 , the price is $80.82
On the day 208 , the price is $81.25
On the day 209 , the price is $84.07
On the day 210 , the price is $79.95
On the day 211 , the price is $86.52
On the day 212 , the price is $85.11
On the day 213 , the price is $86.18
On the day 214 , the price is $91.39
On the day 215 , the price is $88.87
On the day 216 , the price is $88.14
On the day 217 , the price is $85.53
On the day 218 , the price is $84.55
On the day 219 , the price is $85.21
On the day 220 , the price is $82.39
On the day 221 , the price is $83.44
On the day 222 , the price is $90.44
On the day 223 , the price is $86.83
On the day 224 , the price is $88.17
On the day 225 , the price is $84.27
On the day 226 , the price is $83.19
On the day 227 , the price is $81.97
On the day 228 , the price is $79.60
On the day 229 , the price is $79.72
On the day 230 , the price is $84.38
On the day 231 , the price is $89.45
On the day 232 , the price is $95.83
On the day 233 , the price is $103.86
On the day 234 , the price is $106.06
On the day 235 , the price is $102.16
On the day 236 , the price is $101.64
On the day 237 , the price is $96.60
On the day 238 , the price is $92.24
On the day 239 , the price is $91.41
On the day 240 , the price is $92.24
On the day 241 , the price is $89.23
On the day 242 , the price is $92.86
On the day 243 , the price is $92.43
On the day 244 , the price is $99.53
On the day 245 , the price is $105.19
On the day 246 , the price is $100.58
On the day 247 , the price is $104.31
On the day 248 , the price is $100.68
On the day 249 , the price is $96.54
On the day 250 , the price is $99.70
On the day 251 , the price is $106.23
On the day 252 , the price is $114.11
On the day 253 , the price is $111.36
On the day 254 , the price is $106.22
On the day 255 , the price is $112.03
On the day 256 , the price is $122.26
On the day 257 , the price is $131.44
On the day 258 , the price is $138.78
On the day 259 , the price is $151.93
On the day 260 , the price is $149.11
On the day 261 , the price is $148.05
On the day 262 , the price is $157.00
On the day 263 , the price is $166.24
On the day 264 , the price is $161.51
On the day 265 , the price is $161.07
On the day 266 , the price is $171.89
On the day 267 , the price is $169.05
On the day 268 , the price is $161.32
On the day 269 , the price is $171.66
On the day 270 , the price is $169.86
On the day 271 , the price is $165.18
On the day 272 , the price is $176.49
On the day 273 , the price is $176.91
On the day 274 , the price is $168.26
On the day 275 , the price is $165.11
On the day 276 , the price is $175.99
On the day 277 , the price is $186.41
On the day 278 , the price is $182.01
On the day 279 , the price is $197.56
On the day 280 , the price is $190.78
On the day 281 , the price is $203.43
On the day 282 , the price is $193.43
On the day 283 , the price is $190.05
On the day 284 , the price is $181.20
On the day 285 , the price is $190.12
On the day 286 , the price is $200.63
On the day 287 , the price is $202.78
On the day 288 , the price is $211.95
On the day 289 , the price is $208.00
On the day 290 , the price is $215.27
On the day 291 , the price is $209.96
On the day 292 , the price is $221.77
On the day 293 , the price is $220.46
On the day 294 , the price is $214.01
On the day 295 , the price is $209.44
On the day 296 , the price is $223.27
On the day 297 , the price is $225.44
On the day 298 , the price is $234.94
On the day 299 , the price is $237.65
On the day 300 , the price is $226.28
On the day 301 , the price is $219.46
On the day 302 , the price is $214.81
On the day 303 , the price is $221.03
On the day 304 , the price is $237.89
On the day 305 , the price is $240.67
On the day 306 , the price is $240.79
On the day 307 , the price is $253.85
On the day 308 , the price is $241.18
On the day 309 , the price is $231.58
On the day 310 , the price is $234.52
On the day 311 , the price is $242.28
On the day 312 , the price is $234.03
On the day 313 , the price is $239.38
On the day 314 , the price is $236.62
On the day 315 , the price is $229.41
On the day 316 , the price is $223.43
On the day 317 , the price is $212.53
On the day 318 , the price is $207.53
On the day 319 , the price is $199.95
On the day 320 , the price is $194.33
On the day 321 , the price is $196.71
On the day 322 , the price is $189.83
On the day 323 , the price is $190.71
On the day 324 , the price is $183.01
On the day 325 , the price is $195.17
On the day 326 , the price is $186.06
On the day 327 , the price is $189.48
On the day 328 , the price is $188.54
On the day 329 , the price is $183.11
On the day 330 , the price is $198.64
On the day 331 , the price is $189.59
On the day 332 , the price is $193.37
On the day 333 , the price is $210.64
On the day 334 , the price is $215.58
On the day 335 , the price is $232.42
On the day 336 , the price is $223.47
On the day 337 , the price is $243.03
On the day 338 , the price is $239.67
On the day 339 , the price is $229.16
On the day 340 , the price is $219.76
On the day 341 , the price is $230.18
On the day 342 , the price is $233.60
On the day 343 , the price is $239.15
On the day 344 , the price is $232.57
On the day 345 , the price is $228.63
On the day 346 , the price is $251.44
On the day 347 , the price is $261.03
On the day 348 , the price is $276.72
On the day 349 , the price is $288.87
On the day 350 , the price is $302.41
On the day 351 , the price is $299.14
On the day 352 , the price is $312.58
On the day 353 , the price is $297.10
On the day 354 , the price is $296.22
On the day 355 , the price is $324.72
On the day 356 , the price is $334.27
On the day 357 , the price is $332.81
On the day 358 , the price is $324.37
On the day 359 , the price is $325.15
On the day 360 , the price is $356.29
On the day 361 , the price is $375.91
On the day 362 , the price is $398.97
On the day 363 , the price is $428.54
On the day 364 , the price is $432.39
On the day 365 , the price is $419.38
On the day 366 , the price is $460.01
On the day 367 , the price is $488.67
On the day 368 , the price is $504.48
On the day 369 , the price is $493.37
On the day 370 , the price is $484.10
On the day 371 , the price is $509.95
On the day 372 , the price is $497.24
On the day 373 , the price is $516.15
On the day 374 , the price is $497.99
On the day 375 , the price is $535.16
On the day 376 , the price is $525.81
On the day 377 , the price is $551.70
On the day 378 , the price is $579.35
On the day 379 , the price is $587.30
On the day 380 , the price is $641.51
On the day 381 , the price is $614.31
On the day 382 , the price is $618.80
On the day 383 , the price is $645.90
On the day 384 , the price is $678.15
On the day 385 , the price is $659.78
On the day 386 , the price is $699.28
On the day 387 , the price is $665.36
On the day 388 , the price is $696.40
On the day 389 , the price is $681.74
On the day 390 , the price is $667.21
On the day 391 , the price is $729.41
On the day 392 , the price is $706.91
On the day 393 , the price is $687.34
On the day 394 , the price is $739.48
On the day 395 , the price is $812.73
On the day 396 , the price is $792.74
On the day 397 , the price is $781.38
On the day 398 , the price is $791.79
On the day 399 , the price is $795.07
On the day 400 , the price is $805.08
On the day 401 , the price is $878.71
On the day 402 , the price is $876.20
On the day 403 , the price is $855.74
On the day 404 , the price is $829.74
On the day 405 , the price is $885.62
On the day 406 , the price is $912.99
On the day 407 , the price is $901.98
On the day 408 , the price is $891.75
On the day 409 , the price is $933.26
On the day 410 , the price is $964.22
On the day 411 , the price is $933.38
On the day 412 , the price is $1,002.41
